match_id,title_id
4838,557
4839,16
4845,60
4864,3482
4865,2964
4907,15
4947,20
4973,229
4978,152
4982,179
4986,229
4987,54
4993,4922
5003,3117
5005,16
5010,20
5025,3797
5086,16
5109,804
5111,1353
5112,1353
5113,1353
5125,1554
5134,20
5163,60
5164,3125
5168,2251
5169,3125
5171,1723
5172,1723
5175,62
5176,17
5179,18
5180,20
5203,717
5212,557
5212,613
5212,181
5212,558
5217,54
5236,826
5237,20
5264,229
5268,166
5273,2021
5280,60
5282,16
5294,773
5295,224
5308,181
5310,558
5314,557
5318,54
5322,3579
5325,3579
5368,879
5369,1317
5370,1318
5371,1383
5372,1382
5373,877
5392,20
5399,16
5402,60
5407,137
5409,137
5410,179
5426,54
5431,20
5469,757
5470,1703
5479,3796
5482,146
5489,145
5500,508
5510,2404
5511,54
5530,790
5533,264
5542,54
5557,4319
5558,4319
5572,148
5577,146
5579,557
5582,145
5589,576
5590,523
5601,16
5602,20
5622,181
5637,4578
5653,5
5654,5
5708,890
5709,892
5718,150
5724,4380
5725,4380
5726,4380
5729,23
5730,741
5731,4380
5734,740
5735,739
5736,4380
5762,150
5766,758
5800,20
5835,16
5856,229
5857,3200
5861,2378
5882,1062
5904,229
5909,343
5918,54
5925,54
5941,229
5954,20
5963,179
5966,134
5974,803
5974,20
5986,123
5989,124
5992,226
6005,20
6013,1100
6022,121
6025,122
6032,137
6053,229
6071,179
6102,142
6109,150
6120,54
6121,229
6160,4805
6186,16
6187,20
6222,1859
6250,179
6272,150
6284,1903
6290,717
6310,3796
6344,229
6345,54
6357,229
6362,20
6370,20
6373,4370
6377,137
6383,179
6388,23
6394,150
6419,1457
6428,150
6442,148
6443,148
6444,146
6473,146
6479,826
6495,759
6508,54
6540,3797
6541,3798
6542,3796
6544,3799
6555,179
6562,139
6585,144
6586,142
6587,4394
6589,140
6597,21
6629,1554
6633,166
6637,315
6638,314
6639,649
6640,311
6650,54
6656,3967
6670,227
6681,142
6697,311
6711,2768
6768,757
6769,3
6773,2
6775,757
6787,1272
6819,787
6820,3822
6847,355
6852,91
6874,911
6878,103
6886,986
6889,60
6907,20
6907,16
6930,1171
6933,180
6952,4603
6964,142
6965,827
6971,20
6987,245
6988,245
6989,245
6990,245
6992,1528
6993,780
6998,1458
7006,16
7008,60
7018,94
7027,20
7039,558
7040,650
7041,181
7046,179
7057,4319
7058,3482
7086,2711
7115,138
7116,3800
7122,3797
7124,3796
7133,179
7148,1859
7159,1558
7180,2
7181,757
7215,229
7216,54
7222,5177
7224,3751
7225,203
7226,179
7235,16
7237,60
7245,344
7248,54
7253,787
7257,16
7275,138
7282,148
7291,143
7294,140
7322,2143
7324,1203
7325,4392
7352,23
7354,23
7369,179
7393,54
7400,54
7445,20
7470,151
7481,2214
7485,3125
7487,3373
7488,1723
7493,94
7496,1559
7499,20
7507,96
7530,60
7531,20
7549,4392
7554,1272
7555,92
7562,16
7570,1457
7574,2906
7580,179
7586,508
7588,229
7592,229
7600,61
7621,122
7625,121
7631,20
7635,60
7641,1028
7642,1028
7643,1028
7644,1028
7658,20
7696,787
7697,264
7704,20
7705,16
7716,2
7717,3
7740,16
7743,1448
7775,21
7800,3967
7814,3967
7815,20
7822,54
7858,179
7861,826
7867,23
7884,20
7886,60
7888,3797
7891,121
7929,168
7931,170
7932,166
7941,54
7942,1272
7945,1272
7999,787
8015,523
8048,61
8072,91
8111,3672
8123,315
8124,315
8125,315
8126,315
8161,1044
8189,61
8199,1028
8210,180
8214,1
8217,17
8219,20
8224,20
8308,532
8309,96
8315,92
8328,531
8370,264
8372,788
8379,1
8390,1381
8391,1380
8392,1416
8393,1379
8394,1379
8395,1379
8396,1379
8397,1379
8435,495
8447,16
8458,901
8459,1459
8468,790
8477,20
8491,229
8492,54
8499,5548
8501,4578
8502,181
8505,558
8512,60
8514,21
8515,21
8535,986
8562,576
8569,758
8610,495
8619,20
8625,146
8626,148
8629,145
8633,528
8651,54
8695,3
8699,2
8714,16
8746,20
8753,16
8778,60
8812,558
8813,181
8820,170
8841,20
8846,20
8850,179
8902,133
8910,179
8935,803
8953,179
8986,3797
8988,3796
9026,20
9037,61
9053,179
9063,229
9076,16
9121,179
9141,62
9155,3117
9164,54
9172,1912
9179,432
9183,392
9186,145
9206,146
9228,1859
9232,201
9251,740
9274,20
9281,20
9287,2633
9288,20
9305,60
9320,1062
9329,804
9354,167
9364,1865
9365,121
9403,529
9405,181
9406,1196
9408,558
9410,650
9411,557
9421,1857
9437,179
9446,20
9465,315
9499,396
9502,93
9513,2021
9576,54
9581,16
9594,826
9601,826
9602,20
9612,1557
9620,181
9623,558
9639,20
9646,168
9654,20
9663,179
9681,229
9726,59
9748,1379
9749,1416
9750,1382
9751,1379
9754,179
9759,151
9760,54
9789,3482
9797,25
9829,61
9830,62
9831,16
9833,904
9834,17
9837,16
9844,344
9847,54
9852,2518
9893,4380
9894,4380
9896,4380
9897,4380
9923,16
9924,121
9925,121
9926,3680
9929,1272
9930,122
9931,121
9938,148
9942,148
9968,60
9969,20
9972,344
9974,229
9975,54
10016,229
10017,54
10064,96
10077,1457
10086,717
10117,891
10119,890
10120,1467
10149,181
10153,180
10154,179
10159,1272
10173,892
10174,1738
10190,199
10191,198
10206,60
10215,54
10256,179
10276,166
10278,170
10289,20
10300,17
10321,986
10325,60
10329,20
10344,16
10352,2711
10361,147
10366,146
10367,145
10368,145
10376,1559
10382,826
10408,150
10409,758
10426,826
10435,60
10438,139
10439,138
10447,181
10448,650
10449,557
10456,60
10460,16
10463,54
10498,91
10510,576
