title_id,name
60,WWE World Tag Team Championship
60,WWF World Tag Team Championship
60,WWF Tag Team Championship
60,WWWF Tag Team Championship
1554,AAA World Trios Championship
2201,NWA FUW Flash Championship
2201,FUW Flash Championship
23,AJPW World Junior Heavyweight Championship
650,Impact Knockouts World Championship
650,Impact Knockouts Championship
650,GFW Knockouts Championship
650,Impact Women's Knockout Championship
650,TNA Women's Knockout Championship
4332,O-40 Championship
392,IWGP U-30 Openweight Championship
392,U-30 Openweight Championship
4298,Horror Slam Deathmatch Championship
2711,Yokohama Shopping Street Six Man Tag Team Championship
198,World Class World Heavyweight Championship
432,NWA International Junior Heavyweight Championship
432,NWA World International Junior Heavyweight Championship
2299,FULL World Championship
2315,HOG Heavyweight Championship
1501,EVE Championship
1172,WWA World Tag Team  Championship
645,Open The Owarai Gate Championship
2535,GWC Six Man Tag Team Championship
534,CMLL World Mini Estrella Championship
1819,REINA-CMLL International Championship
1559,NWA World Historic Welterweight Championship
2974,Kaiju Double Danger Tandem Championship
3237,WWE NXT United Kingdom Championship
3237,WWE United Kingdom Championship
2675,AML Tag Team Championship
14,WWE Hardcore Championship
14,WWF Hardcore Championship
523,Mexican National Mini's Championship
138,NWA World Middleweight Championship
3514,The Crash Heavyweight Championship
495,Mexican National Light Heavyweight Championship
3679,WWE NXT North American Championship
137,NWA World Television Championship
137,NWA Television Championship
137,NWA Mid-Atlantic Television Championship
911,NWA International Tag Team Championship
3800,GCW Extreme Championship
3800,JCW Extreme Championship
708,ZERO1 World Heavyweight Championship
708,ZERO1-MAX World Heavyweight Championship
210,JWP Openweight Championship
742,WCW World Six Man Tag Team Championship
1481,Xplosion World Championship
1481,XNL World Championship
1481,XNL Championship
144,GHC Tag Team Championship
3694,WrestlePro Silver Championship
529,Mexican National Women's Tag Team Championship
4099,IWGP World Heavyweight Championship
759,WCW United States Championship
759,WCW United States Heavyweight Championship
521,UWF Heavyweight Championship
92,CMLL World Light Heavyweight Championship
5497,NJPW STRONG Openweight Tag Team Championship
5224,AEW TBS Championship
2826,NWA United States Tag Team   Championship
1169,WWA World Heavyweight Championship
3154,UWF World Heavyweight Championship
122,ROH World Tag Team Championship
122,ROH Tag Team Championship
5252,Internet Championship
221,Independent Junior Heavyweight Championship
221,Independent World Junior Heavyweight Championship
221,FMW World Junior Heavyweight Championship
221,Independent World Junior Heavyweight Championship
472,NWA Western States Heritage Championship
1301,DAWG Heavyweight Championship
1301,NWA DAWG Heavyweight Championship
1301,NWA DAWG Pound Heavyweight Championship
395,WEW Hardcore Tag Team Championship
741,DDT Extreme Championship
2518,Occidente Trios Championship
100,Honorary CZW Junior Heavyweight Championship
100,CZW Junior Heavyweight Championship
4813,Sou Ryuo Tag Team Championship
1417,WCW World Women's Cruiserweight Championship
344,AWA World Women's Championship
5282,CCW Canadian Heavyweight Championship
2962,Ryuo Championship
4994,Million Dollar Championship
1518,NWA Gulf Coast Heavyweight Championship
3626,Pacific Coast Junior Heavyweight Championship
897,NWA OVW Light Heavyweight Championship
788,Mid-South Louisiana Championship
788,NWA Tri-State Louisiana Championship
788,NWA Gulf Coast Louisiana Championship
2672,GFW Tag Team Championship
3680,ROH Women Of Honor World Championship
3680,ROH Women Of Honor Championship
24,Triple Crown Championship
2910,NWA United States Tag Team     Championship
22,NWA Mid-America Television Championship
22,CWA Television    Championship
3754,MLW World Middleweight Championship
3754,MLW Middleweight Championship
1134,AWA Americas Heavyweight Championship
62,WWE United States Championship
5153,PWR Remix Championship
88,BCW Heavyweight   Championship
88,BCW Can-Am Heavyweight Championship
5649,CMLL World Micro Championship
2739,IPW Women's   Championship
2739,IPW:UK Women's Championship
357,Anarchy Tag Team Championship
357,NWA Anarchy Tag Team Championship
757,ECW World Heavyweight Championship
757,ECW Heavyweight Championship
2543,FSW Tag Team  Championship
311,Open The Dream Gate Championship
93,CMLL World Middleweight Championship
3580,ICW Alternative Championship
91,CMLL World Heavyweight Championship
91,EMLL World Heavyweight Championship
20,WWE Championship
20,WWE World Championship
20,WWE Championship
20,WWE World Heavyweight Championship
20,WWE Heavyweight Championship
20,WWE Undisputed World Heavyweight Championship
20,WWF Undisputed World Heavyweight Championship
20,WWF World Heavyweight Championship
20,WWF Heavyweight Championship
20,WWWF Heavyweight Championship
20,WWWF World Heavyweight Championship
1029,CMLL Arena Coliseo Tag Team Championship
140,GHC Heavyweight Championship
995,SHIMMER Tag Team Championship
1467,NWA Southeastern Heavyweight  Championship
1467,NWA Smoky Mountain Heavyweight Championship
1467,CWA World Heavyweight Championship
367,NWA North American Heavyweight Championship
5177,Spirit Of Ganbare World Openweight Championship
345,NWA World Women's Championship
4066,WWE Women's Tag Team Championship
1984,WildKat Revolution Championship
1770,WAVE Tag Team Championship
6069,WWE World Heavyweight  Championship
518,PWF United States Heavyweight Championship
5837,NWA Wildside Heavyweight Championship
5837,NWA Georgia Heavyweight  Championship
5837,MCW Georgia Heavyweight Championship
199,World Class World Tag Team Championship
5889,JCW Championship
755,World Heavyweight    Championship
755,WCW World Heavyweight Championship
891,NWA Mountain State Television Championship
1287,AAA Reina de Reinas Championship
1572,Vendetta Pro International Tag Team Championship
1572,NWA International Tag Team   Championship
1572,Vendetta Pro Tag Team Championship
1572,APW/Vendetta Pro Unified Tag Team Championship
1572,Vendetta Pro Tag Team Championship
25,AJPW World Tag Team Championship
4604,RCW International Championship
4604,RCW Cyber Championship
4604,RCW Television  Championship
180,NWA World Tag Team Championship
180,NWA/WCW Unified World Tag Team Championship
180,NWA World Tag Team Championship
258,IWA Puerto Rico Intercontinental Championship
4423,IWS Women's Championship
17,World Heavyweight Championship
1081,AAA Campeon de Campeones Championship
526,Mexican National Cruiserweight Championship
4642,Horror Slam Tag Team Championship
740,KO-D Tag Team Championship
1114,LPWA Championship
3200,ROH World Six Man Tag Team Championship
94,CMLL World Welterweight Championship
411,IWS World Heavyweight Championship
411,IWS Heavyweight Championship
411,WWS Heavyweight  Championship
411,DWF  Championship
61,WWE RAW Tag Team Championship
61,WWE Tag Team Championship
61,Unified WWE Tag Team Championship
61,WWE Tag Team Championship
804,NWA International Heavyweight Championship
