title_id,name,promotion,active,rating,votes
3514,The Crash Heavyweight Championship,1113.0,True,,
495,Mexican National Light Heavyweight Championship,78.0,True,,
3679,WWE NXT North American Championship,1.0,True,8.3,105.0
137,NWA World Television Championship,9.0,True,7.68,19.0
911,NWA International Tag Team Championship,6.0,False,,
3800,GCW Extreme Championship,710.0,True,3.5,4.0
708,ZERO1 World Heavyweight Championship,13.0,True,7.33,12.0
210,JWP Openweight Championship,120.0,False,,
742,WCW World Six Man Tag Team Championship,2.0,False,1.43,23.0
1481,Xplosion World Championship,732.0,True,,
144,GHC Tag Team Championship,8.0,True,6.64,28.0
3694,WrestlePro Silver Championship,1654.0,True,,
529,Mexican National Women's Tag Team Championship,,False,,
4099,IWGP World Heavyweight Championship,7.0,True,7.69,84.0
759,WCW United States Championship,1.0,False,7.81,47.0
521,UWF Heavyweight Championship,64.0,False,9.0,2.0
92,CMLL World Light Heavyweight Championship,78.0,True,,
5497,NJPW STRONG Openweight Tag Team Championship,7.0,True,8.0,3.0
5224,AEW TBS Championship,2287.0,True,4.33,73.0
2826,NWA United States Tag Team   Championship,499.0,False,,
1169,WWA World Heavyweight Championship,123.0,True,,
3154,UWF World Heavyweight Championship,300.0,False,,
122,ROH World Tag Team Championship,4.0,True,8.66,109.0
5252,Internet Championship,,True,7.67,3.0
221,Independent Junior Heavyweight Championship,117.0,True,7.5,2.0
472,NWA Western States Heritage Championship,9.0,False,1.0,3.0
1301,DAWG Heavyweight Championship,650.0,True,,
395,WEW Hardcore Tag Team Championship,137.0,True,,
741,DDT Extreme Championship,118.0,True,9.21,19.0
2518,Occidente Trios Championship,78.0,True,,
100,Honorary CZW Junior Heavyweight Championship,14.0,False,7.67,6.0
4813,Sou Ryuo Tag Team Championship,1228.0,True,,
1417,WCW World Women's Cruiserweight Championship,2.0,False,1.0,1.0
344,AWA World Women's Championship,41.0,False,,
5282,CCW Canadian Heavyweight Championship,557.0,True,,
2962,Ryuo Championship,1228.0,True,,
4994,Million Dollar Championship,1.0,False,5.54,13.0
1518,NWA Gulf Coast Heavyweight Championship,499.0,False,,
3626,Pacific Coast Junior Heavyweight Championship,408.0,False,,
897,NWA OVW Light Heavyweight Championship,11.0,False,,
788,Mid-South Louisiana Championship,64.0,False,,
2672,GFW Tag Team Championship,1303.0,False,,
3680,ROH Women Of Honor World Championship,4.0,False,3.73,15.0
24,Triple Crown Championship,6.0,True,9.46,148.0
2910,NWA United States Tag Team     Championship,726.0,False,,
22,NWA Mid-America Television Championship,2811.0,False,4.0,1.0
3754,MLW World Middleweight Championship,22.0,True,7.88,8.0
1134,AWA Americas Heavyweight Championship,41.0,False,,
62,WWE United States Championship,1.0,True,7.07,343.0
