event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
37604,Taped,2001-01-13,lokale TV Sender (USA),
215169,Live,2018-11-14,DDTuniverse.com,
92975,Taped,2013-03-15,Syfy,1.8
116491,Taped,2014-09-07,Samurai! TV,
83676,Taped,2012-08-25,The CW,
294641,Live,2020-10-24,AXS TV,
152125,Live,2016-08-14,TV Asahi 2,
133484,Taped,1972-06-25,,
81146,Live,2012-06-14,Spike TV,1.0
152231,Live,2016-04-29,ClaroSports.com,
339820,Live,2022-04-22,FOX,
105591,Taped,1993-09-26,TSN,
318772,Taped,1990-11-25,TBS,
49828,Taped,2000-03-26,Televisa Deportes,
334600,Live,2022-03-16,TBS,
146991,Taped,1991-09-07,TBS,
87098,Taped,,TV Asahi,
169546,Taped,,niconico.jp,
205084,Live,2018-08-07,YouTube.com,
302659,Taped,2021-01-30,Fight Network,
250407,Taped,2019-12-24,DDTuniverse.com,
192569,Live,2018-11-17,WWE Network,
348984,Taped,2022-08-10,Wrestle Universe,
367635,Taped,1978-05-13,lokale TV Sender (Canada),
361384,Live,2023-03-17,FOX,
112324,Taped,1995-06-24,TBS,
11855,Taped,2006-10-20,lokale TV Sender (USA),
361991,Live,2023-04-10,USA Network,
314751,Live,2021-06-11,Ticketmaster Live,
330913,Taped,2021-12-08,YouTube.com,
333123,Taped,,Televisa Deportes,
53192,Taped,,TV Asahi,
11636,Taped,,Gaora TV,
4130,Live,1997-04-28,TNT,2.7
351569,Taped,2022-09-10,Impact Plus,
10619,Taped,2007-04-07,Gaora TV,
40375,Taped,2009-06-17,Samurai! TV,
346222,Taped,2022-06-30,AXS TV,
264819,Live,2020-05-06,TNT,
101339,Taped,2013-10-19,Televisa Deportes,
233078,Live,2019-06-30,AJPW.tv,
196972,Live,2018-04-08,WWE Network,
48458,Taped,2000-08-20,lokale TV Sender (USA),
187613,Live,2018-12-16,WWE Network,
102580,Live,2013-11-02,niconico.jp,
41946,Taped,2002-12-07,BS Asahi,
10549,Taped,2007-04-05,Spike TV,0.9
74704,Taped,2012-02-09,Spike TV,1.1
214808,Taped,2018-11-08,POP TV,
175885,Taped,1982-10-24,,
129608,Taped,2009-02-13,TNAwrestling.com,
126300,Taped,2015-04-24,Destination America,
326277,Taped,2021-10-14,AXS TV,
358612,Taped,1980-04-12,lokale TV Sender (USA),
341655,Taped,2022-05-05,AXS TV,
66561,Taped,,TV Asahi,
362455,Taped,2023-03-07,Reelz,
322168,Taped,2021-09-02,AXS TV,
177863,Taped,1983-06-26,,
307171,Taped,,MVS TV,
48573,Taped,2002-08-04,Televisa Deportes,
121535,Taped,2014-12-09,WWE Network,
98239,Live,2013-07-14,Samurai! TV,
228250,Live,2019-04-07,AJPW.tv,
224350,Live,2019-02-26,USA Network,
339464,Live,2022-04-02,Wrestle Universe,
270623,Live,2020-05-30,DDTuniverse.com,
162634,Taped,2016-10-21,WWE Network,
170107,Taped,2017-03-02,POP TV,
61663,Taped,2011-04-01,Syfy,1.96
198110,Live,2018-05-03,DDTuniverse.com,
97298,Taped,1999-04-08,lokale TV Sender (USA),
21198,Live,2008-05-11,Samurai! TV,
72528,Taped,2011-12-17,Televisa Deportes,
3799,Taped,1998-05-09,Syndication,
47789,Taped,1996-09-08,Televisa Deportes,
228774,Taped,2019-04-16,DDTuniverse.com,
36548,Taped,1999-08-14,lokale TV Sender (USA),
86704,Taped,,TV Asahi,
159159,Taped,2016-05-28,Challenge TV,
